"","V1","V2"
"4596","Egypt"," Culex theileri"
"4597","Egypt"," Culex tritaeniorhynchus"
"4598","Egypt"," Culex univittatus"
"4599","Egypt"," Culiseta longiareolata"
"4600","Egypt"," Culiseta subochrea"
"4601","Egypt"," Ochlerotatus caspius"
"4602","Egypt"," Ochlerotatus detritus"
"4603","Egypt"," Stegomyia aegypti"
"4604","Egypt"," Uranotaenia unguiculata"
"4605","El Salvador","Anopheles albimanus"
"4606","El Salvador"," Anopheles apicimacula"
"4607","El Salvador"," Anopheles argyritarsis"
"4608","El Salvador"," Anopheles crucians"
"4609","El Salvador"," Anopheles darlingi"
"4610","El Salvador"," Anopheles eiseni"
"4611","El Salvador"," Anopheles hectoris"
"4612","El Salvador"," Anopheles neivai"
"4613","El Salvador"," Anopheles neomaculipalpus"
"4614","El Salvador"," Anopheles pseudopunctipennis"
"4615","El Salvador"," Anopheles punctimacula"
"4616","El Salvador"," Anopheles vestitipennis"
"4617","El Salvador"," Coquillettidia fasciolata"
"4618","El Salvador"," Coquillettidia nigricans"
"4619","El Salvador"," Coquillettidia venezuelensis"
"4620","El Salvador"," Culex bastagarius"
"4621","El Salvador"," Culex conspirator"
"4622","El Salvador"," Culex corniger"
"4623","El Salvador"," Culex coronator"
"4624","El Salvador"," Culex declarator"
"4625","El Salvador"," Culex educator"
"4626","El Salvador"," Culex elevator"
"4627","El Salvador"," Culex erraticus"
"4628","El Salvador"," Culex inhibitator"
"4629","El Salvador"," Culex interrogator"
"4630","El Salvador"," Culex iolambdis"
"4631","El Salvador"," Culex limacifer"
"4632","El Salvador"," Culex mutator"
"4633","El Salvador"," Culex nigripalpus"
"4634","El Salvador"," Culex ousqua"
"4635","El Salvador"," Culex panocossa"
"4636","El Salvador"," Culex pilosus"
"4637","El Salvador"," Culex quinquefasciatus"
"4638","El Salvador"," Culex restrictor"
"4639","El Salvador"," Culex trifidus"
"4640","El Salvador"," Culiseta particeps"
"4641","El Salvador"," Deinocerites howardi"
"4642","El Salvador"," Deinocerites pseudes"
"4643","El Salvador"," Georgecraigius fluviatilis"
"4644","El Salvador"," Haemagogus anastasionis"
"4645","El Salvador"," Haemagogus equinus"
"4646","El Salvador"," Haemagogus mesodentatus"
"4647","El Salvador"," Haemagogus regalis"
"4648","El Salvador"," Howardina allotecnon"
"4649","El Salvador"," Limatus durhamii"
"4650","El Salvador"," Lutzia bigoti"
"4651","El Salvador"," Mansonia dyari"
"4652","El Salvador"," Ochlerotatus angustivittatus"
"4653","El Salvador"," Ochlerotatus bimaculatus"
"4654","El Salvador"," Ochlerotatus euplocamus"
"4655","El Salvador"," Ochlerotatus scapularis"
"4656","El Salvador"," 'Ochlerotatus' sensu auctorum heteropus"
"4657","El Salvador"," 'Ochlerotatus' sensu auctorum homoeopus"
"4658","El Salvador"," 'Ochlerotatus' sensu auctorum podographicus"
"4659","El Salvador"," Ochlerotatus serratus"
"4660","El Salvador"," Ochlerotatus taeniorhynchus"
"4661","El Salvador"," Orthopodomyia kummi"
"4662","El Salvador"," Psorophora champerico"
"4663","El Salvador"," Psorophora ciliata"
"4664","El Salvador"," Psorophora confinnis"
"4665","El Salvador"," Psorophora ferox"
"4666","El Salvador"," Psorophora howardii"
"4667","El Salvador"," Psorophora varipes"
"4668","El Salvador"," Sabethes chloropterus"
"4669","El Salvador"," Stegomyia aegypti"
"4670","El Salvador"," Stegomyia albopicta"
"4671","El Salvador"," Toxorhynchites moctezuma"
"4672","El Salvador"," Trichoprosopon digitatum"
"4673","El Salvador"," Uranotaenia coatzacoalcos"
"4674","El Salvador"," Uranotaenia geometrica"
"4675","El Salvador"," Uranotaenia socialis"
"4676","El Salvador"," Wyeomyia ablechra"
"4677","El Salvador"," Wyeomyia aporonoma"
"4678","El Salvador"," Wyeomyia arthrostigma"
"4679","El Salvador"," Wyeomyia celaenocephala"
"4680","El Salvador"," Wyeomyia hemisagnosta"
"4681","El Salvador"," Wyeomyia pertinans"
"4682","Equatorial Guinea","Anopheles brunnipes"
"4683","Equatorial Guinea"," Anopheles carnevalei"
"4684","Equatorial Guinea"," Anopheles cinctus"
"4685","Equatorial Guinea"," Anopheles coluzzii"
"4686","Equatorial Guinea"," Anopheles funestus"
"4687","Equatorial Guinea"," Anopheles gambiae"
"4688","Equatorial Guinea"," Anopheles lloreti"
"4689","Equatorial Guinea"," Anopheles melas"
"4690","Equatorial Guinea"," Anopheles smithii"
"4691","Equatorial Guinea"," Bifidistylus boneti"
"4692","Equatorial Guinea"," Culex duttoni"
"4693","Equatorial Guinea"," Culex quinquefasciatus"
"4694","Equatorial Guinea"," Eretmapodites quinquevittatus"
"4695","Equatorial Guinea"," Lutzia tigripes"
"4696","Equatorial Guinea"," Mansonia africana"
"4697","Equatorial Guinea"," Stegomyia aegypti"
"4698","Equatorial Guinea"," Stegomyia africana"
"4699","Equatorial Guinea"," Stegomyia albopicta"
"4700","Equatorial Guinea"," Stegomyia dendrophilus"
"4701","Equatorial Guinea"," Toxorhynchites brevipalpis conradti"
"4702","Equatorial Guinea"," Uranotaenia annulata"
"4703","Equatorial Guinea"," Uranotaenia apicotaeniata"
"4704","Equatorial Guinea"," Uranotaenia mashonaensis"
"4705","Equatorial Guinea"," Uranotaenia nigripes"
"4706","Eritrea","Aedimorphus eritreae"
"4707","Eritrea"," Anopheles coustani"
"4708","Eritrea"," Anopheles culicifacies"
"4709","Eritrea"," Anopheles dthali"
"4710","Eritrea"," Anopheles erythraeus"
"4711","Eritrea"," Anopheles funestus"
"4712","Eritrea"," Anopheles gambiae"
"4713","Eritrea"," Anopheles garnhami"
"4714","Eritrea"," Anopheles pharoensis"
"4715","Eritrea"," Anopheles turkhudi"
"4716","Eritrea"," Cellia rhodesiensis rupicola"
"4717","Eritrea"," Cellia sergentii macmahoni"
"4718","Eritrea"," Culex sinaiticus"
"4719","Eritrea"," Culex theileri"
"4720","Eritrea"," 'Ochlerotatus' sensu auctorum fryeri"
"4721","Eritrea"," Stegomyia aegypti"
"4722","Estonia","Aedes cinereus"
"4723","Estonia"," Aedimorphus vexans"
"4724","Estonia"," Anopheles algeriensis"
"4725","Estonia"," Anopheles claviger"
"4726","Estonia"," Anopheles maculipennis"
"4727","Estonia"," Anopheles messeae"
"4728","Estonia"," Anopheles plumbeus"
"4729","Estonia"," Coquillettidia richiardii"
"4730","Estonia"," Culex pipiens"
"4731","Estonia"," Culex territans"
"4732","Estonia"," Culex torrentium"
"4733","Estonia"," Culiseta alaskaensis"
"4734","Estonia"," Culiseta annulata"
"4735","Estonia"," Culiseta fumipennis"
"4736","Estonia"," Culiseta morsitans"
"4737","Estonia"," Culiseta ochroptera"
"4738","Estonia"," Ochlerotatus annulipes"
"4739","Estonia"," Ochlerotatus cantans"
"4740","Estonia"," Ochlerotatus caspius"
"4741","Estonia"," Ochlerotatus cataphylla"
"4742","Estonia"," Ochlerotatus communis"
"4743","Estonia"," Ochlerotatus cyprius"
"4744","Estonia"," Ochlerotatus diantaeus"
"4745","Estonia"," Ochlerotatus dorsalis"
"4746","Estonia"," Ochlerotatus excrucians"
"4747","Estonia"," Ochlerotatus intrudens"
"4748","Estonia"," Ochlerotatus leucomelas"
"4749","Estonia"," Ochlerotatus nigrinus"
"4750","Estonia"," Ochlerotatus punctor"
"4751","Estonia"," Ochlerotatus rusticus"
"4752","Ethiopia","Aedimorphus dentatus"
"4753","Ethiopia"," Aedimorphus holocinctus"
"4754","Ethiopia"," Aedimorphus natronius"
"4755","Ethiopia"," Aedimorphus quasiunivittatus"
"4756","Ethiopia"," Anopheles amharicus"
"4757","Ethiopia"," Anopheles arabiensis"
"4758","Ethiopia"," Anopheles ardensis"
"4759","Ethiopia"," Anopheles christyi"
"4760","Ethiopia"," Anopheles cinereus"
"4761","Ethiopia"," Anopheles confusus"
"4762","Ethiopia"," Anopheles coustani"
"4763","Ethiopia"," Anopheles culicifacies"
"4764","Ethiopia"," Anopheles cydippis"
"4765","Ethiopia"," Anopheles dancalicus"
"4766","Ethiopia"," Anopheles demeilloni"
"4767","Ethiopia"," Anopheles domicola"
"4768","Ethiopia"," Anopheles dthali"
"4769","Ethiopia"," Anopheles ethiopicus"
"4770","Ethiopia"," Anopheles funestus"
"4771","Ethiopia"," Anopheles gambiae"
"4772","Ethiopia"," Anopheles garnhami"
"4773","Ethiopia"," Anopheles gibbinsi"
"4774","Ethiopia"," Anopheles harperi"
"4775","Ethiopia"," Anopheles implexus"
"4776","Ethiopia"," Anopheles kingi"
"4777","Ethiopia"," Anopheles leesoni"
"4778","Ethiopia"," Anopheles longipalpis"
"4779","Ethiopia"," Anopheles maculipalpis"
"4780","Ethiopia"," Anopheles marshallii"
"4781","Ethiopia"," Anopheles natalensis"
"4782","Ethiopia"," Anopheles nili"
"4783","Ethiopia"," Anopheles obscurus"
"4784","Ethiopia"," Anopheles paludis"
"4785","Ethiopia"," Anopheles pharoensis"
"4786","Ethiopia"," Anopheles pretoriensis"
"4787","Ethiopia"," Anopheles rhodesiensis"
"4788","Ethiopia"," Anopheles rivulorum"
"4789","Ethiopia"," Anopheles rufipes"
"4790","Ethiopia"," Anopheles salbaii"
"4791","Ethiopia"," Anopheles seydeli"
"4792","Ethiopia"," Anopheles squamosus"
"4793","Ethiopia"," Anopheles tenebrosus"
"4794","Ethiopia"," Anopheles theileri"
"4795","Ethiopia"," Anopheles turkhudi"
"4796","Ethiopia"," Anopheles wellcomei"
"4797","Ethiopia"," Anopheles ziemanni"
"4798","Ethiopia"," Cellia rhodesiensis rupicola"
"4799","Ethiopia"," Cellia sergentii macmahoni"
"4800","Ethiopia"," Coquillettidia fuscopennata"
"4801","Ethiopia"," Coquillettidia microannulata"
"4802","Ethiopia"," Coquillettidia versicolor"
"4803","Ethiopia"," Culex andersoni"
"4804","Ethiopia"," Culex andersoni abyssinicus"
"4805","Ethiopia"," Culex annulioris"
"4806","Ethiopia"," Culex antennatus"
"4807","Ethiopia"," Culex chorleyi"
"4808","Ethiopia"," Culex duttoni"
"4809","Ethiopia"," Culex laticinctus"
"4810","Ethiopia"," Culex neavei"
"4811","Ethiopia"," Culex perfuscus"
"4812","Ethiopia"," Culex pipiens"
"4813","Ethiopia"," Culex quasiguiarti"
"4814","Ethiopia"," Culex quinquefasciatus"
"4815","Ethiopia"," Culex rubinotus"
"4816","Ethiopia"," Culex shoae"
"4817","Ethiopia"," Culex simpsoni"
"4818","Ethiopia"," Culex sitiens"
"4819","Ethiopia"," Culex striatipes"
"4820","Ethiopia"," Culex terzii"
"4821","Ethiopia"," Culex theileri"
"4822","Ethiopia"," Culex trifilatus"
"4823","Ethiopia"," Culex trifoliatus"
"4824","Ethiopia"," Culex tritaeniorhynchus"
"4825","Ethiopia"," Culex univittatus"
"4826","Ethiopia"," Culex vansomereni"
"4827","Ethiopia"," Culex vansomereni elgonicus"
"4828","Ethiopia"," Culex zombaensis"
"4829","Ethiopia"," Culiseta longiareolata"
"4830","Ethiopia"," Diceromyia furcifer"
"4831","Ethiopia"," Eretmapodites chrysogaster"
"4832","Ethiopia"," Eretmapodites dracaenae"
"4833","Ethiopia"," Eretmapodites intermedius"
"4834","Ethiopia"," Eretmapodites silvestris"
"4835","Ethiopia"," Eretmapodites silvestris conchobius"
"4836","Ethiopia"," Eretmapodites tonsus"
"4837","Ethiopia"," Fredwardsius vittatus"
"4838","Ethiopia"," Hopkinsius embuensis"
"4839","Ethiopia"," Lutzia tigripes"
"4840","Ethiopia"," Mansonia africana"
"4841","Ethiopia"," Mansonia uniformis"
"4842","Ethiopia"," Mimomyia splendens"
"4843","Ethiopia"," Mucidus sudanensis"
"4844","Ethiopia"," Neomelaniconion albicosta"
"4845","Ethiopia"," Neomelaniconion albothorax"
"4846","Ethiopia"," Neomelaniconion circumluteolum"
"4847","Ethiopia"," Neomelaniconion mcintoshi"
"4848","Ethiopia"," Ochlerotatus caballus"
"4849","Ethiopia"," Oculeomyia aurantapex ellinorae"
"4850","Ethiopia"," Stegomyia aegypti"
"4851","Ethiopia"," Stegomyia africana"
"4852","Ethiopia"," Stegomyia bromeliae"
"4853","Ethiopia"," Stegomyia contigua"
"4854","Ethiopia"," Stegomyia ethiopiensis"
"4855","Ethiopia"," Stegomyia lilii"
"4856","Ethiopia"," Stegomyia luteocephala"
"4857","Ethiopia"," Toxorhynchites brevipalpis abyssinicus"
"4858","Ethiopia"," Uranotaenia balfouri"
"4859","Fiji","Aedeomyia catasticta"
"4860","Fiji"," Aedimorphus trukensis"
"4861","Fiji"," Aedimorphus vexans nocturnus"
"4862","Fiji"," Coquillettidia crassipes"
"4863","Fiji"," Coquillettidia fijiensis"
"4864","Fiji"," Culex albinervis"
"4865","Fiji"," Culex annulirostris"
"4866","Fiji"," Culex sitiens"
"4867","Fiji"," Finlaya alocasicola"
"4868","Fiji"," Finlaya burnetti"
"4869","Fiji"," Finlaya fijiensis"
"4870","Fiji"," Finlaya freycinetiae"
"4871","Fiji"," Levua geoskusea"
"4872","Fiji"," Ochlerotatus vigilax"
"4873","Fiji"," Stegomyia aegypti"
"4874","Fiji"," Stegomyia albopicta"
"4875","Fiji"," Stegomyia horrescens"
"4876","Fiji"," Stegomyia polynesiensis"
"4877","Fiji"," Stegomyia pseudoscutellaris"
"4878","Fiji"," Stegomyia rotumae"
"4879","Fiji"," Stegomyia scutellaris"
"4880","Fiji"," Toxorhynchites amboinensis"
"4881","Fiji"," Toxorhynchites inornatus"
"4882","Fiji"," Toxorhynchites speciosus"
"4883","Fiji"," Toxorhynchites splendens"
"4884","Fiji"," Tripteroides purpuratus"
"4885","Fiji"," Tripteroides rotumanus"
"4886","Fiji"," Uranotaenia colocasiae"
"4887","Fiji"," Uranotaenia painei"
"4888","Finland","Aedes cinereus"
"4889","Finland"," Aedimorphus vexans"
"4890","Finland"," Anopheles beklemishevi"
"4891","Finland"," Anopheles claviger"
"4892","Finland"," Anopheles maculipennis"
"4893","Finland"," Anopheles messeae"
"4894","Finland"," Coquillettidia richiardii"
"4895","Finland"," Culex pipiens"
"4896","Finland"," Culex territans"
"4897","Finland"," Culex torrentium"
"4898","Finland"," Culiseta alaskaensis"
"4899","Finland"," Culiseta annulata"
"4900","Finland"," Culiseta bergrothi"
"4901","Finland"," Culiseta glaphyroptera"
"4902","Finland"," Culiseta morsitans"
"4903","Finland"," Culiseta ochroptera"
"4904","Finland"," Culiseta subochrea"
"4905","Finland"," Ochlerotatus annulipes"
"4906","Finland"," Ochlerotatus cantans"
"4907","Finland"," Ochlerotatus caspius"
"4908","Finland"," Ochlerotatus cataphylla"
"4909","Finland"," Ochlerotatus communis"
"4910","Finland"," Ochlerotatus cyprius"
"4911","Finland"," Ochlerotatus diantaeus"
"4912","Finland"," Ochlerotatus dorsalis"
"4913","Finland"," Ochlerotatus euedes"
"4914","Finland"," Ochlerotatus excrucians"
"4915","Finland"," Ochlerotatus flavescens"
"4916","Finland"," Ochlerotatus hexodontus"
"4917","Finland"," Ochlerotatus impiger"
"4918","Finland"," Ochlerotatus intrudens"
"4919","Finland"," Ochlerotatus leucomelas"
"4920","Finland"," Ochlerotatus nigrinus"
"4921","Finland"," Ochlerotatus pionips"
"4922","Finland"," Ochlerotatus pullatus"
"4923","Finland"," Ochlerotatus punctodes"
"4924","Finland"," Ochlerotatus punctor"
"4925","Finland"," Ochlerotatus riparius"
"4926","Finland"," Ochlerotatus sticticus"
"4927","France","Acartomyia mariae"
"4928","France"," Aedes cinereus"
"4929","France"," Aedes geminus"
"4930","France"," Aedes rossicus"
"4931","France"," Aedimorphus vexans"
"4932","France"," Anopheles algeriensis"
"4933","France"," Anopheles atroparvus"
"4934","France"," Anopheles claviger"
"4935","France"," Anopheles hyrcanus"
"4936","France"," Anopheles labranchiae"
"4937","France"," Anopheles maculipennis"
"4938","France"," Anopheles marteri"
"4939","France"," Anopheles melanoon"
"4940","France"," Anopheles messeae"
"4941","France"," Anopheles petragnani"
"4942","France"," Anopheles plumbeus"
"4943","France"," Anopheles pseudopictus"
"4944","France"," Anopheles sacharovi"
"4945","France"," Anopheles superpictus"
"4946","France"," Coquillettidia buxtoni"
"4947","France"," Coquillettidia richiardii"
"4948","France"," Culex brumpti"
"4949","France"," Culex hortensis"
"4950","France"," Culex impudicus"
"4951","France"," Culex martinii"
"4952","France"," Culex mimeticus"
"4953","France"," Culex modestus"
"4954","France"," Culex pipiens"
"4955","France"," Culex prosecutor"
"4956","France"," Culex territans"
"4957","France"," Culex theileri"
"4958","France"," Culex torrentium"
"4959","France"," Culex univittatus"
"4960","France"," Culiseta alaskaensis"
"4961","France"," Culiseta annulata"
"4962","France"," Culiseta fumipennis"
"4963","France"," Culiseta glaphyroptera"
"4964","France"," Culiseta litorea"
"4965","France"," Culiseta longiareolata"
"4966","France"," Culiseta morsitans"
"4967","France"," Culiseta penetrans"
"4968","France"," Culiseta subochrea"
"4969","France"," Dahliana echinus"
"4970","France"," Dahliana geniculata"
"4971","France"," Fredwardsius vittatus"
"4972","France"," Hulecoeteomyia japonica"
"4973","France"," Ochlerotatus annulipes"
"4974","France"," Ochlerotatus berlandi"
"4975","France"," Ochlerotatus cantans"
"4976","France"," Ochlerotatus coluzzii"
"4977","France"," Ochlerotatus communis"
"4978","France"," Ochlerotatus detritus"
"4979","France"," Ochlerotatus diantaeus"
"4980","France"," Ochlerotatus dorsalis"
"4981","France"," Ochlerotatus flavescens"
"4982","France"," Ochlerotatus nigrinus"
"4983","France"," Ochlerotatus pulcritarsis"
"4984","France"," Ochlerotatus pullatus"
"4985","France"," Ochlerotatus punctor"
"4986","France"," Ochlerotatus refiki"
"4987","France"," Ochlerotatus rusticus"
"4988","France"," Ochlerotatus sticticus"
"4989","France"," Ochlerotatus Subgenus uncertain caspius hargreavesi"
"4990","France"," Ochlerotatus surcoufi"
"4991","France"," Orthopodomyia pulcripalpis"
"4992","France"," Stegomyia aegypti"
"4993","France"," Stegomyia albopicta"
"4994","France"," Uranotaenia unguiculata"
"4995","French Guiana","Aedeomyia squamipennis"
"4996","French Guiana"," Anopheles acanthotorynus"
"4997","French Guiana"," Anopheles aquasalis"
"4998","French Guiana"," Anopheles argyritarsis"
"4999","French Guiana"," Anopheles bambusicolus"
"5000","French Guiana"," Anopheles boliviensis"
"5001","French Guiana"," Anopheles braziliensis"
"5002","French Guiana"," Anopheles canorii"
"5003","French Guiana"," Anopheles cruzii"
"5004","French Guiana"," Anopheles darlingi"
"5005","French Guiana"," Anopheles eiseni"
"5006","French Guiana"," Anopheles forattinii"
"5007","French Guiana"," Anopheles homunculus"
"5008","French Guiana"," Anopheles ininii"
"5009","French Guiana"," Anopheles intermedius"
"5010","French Guiana"," Anopheles kompi"
"5011","French Guiana"," Anopheles maculipes"
"5012","French Guiana"," Anopheles minor"
"5013","French Guiana"," Anopheles neivai"
"5014","French Guiana"," Anopheles nimbus"
"5015","French Guiana"," Anopheles nuneztovari"
"5016","French Guiana"," Anopheles oswaldoi"
"5017","French Guiana"," Anopheles peryassui"
"5018","French Guiana"," Anopheles pseudopunctipennis"
"5019","French Guiana"," Anopheles sanctielii"
"5020","French Guiana"," Anopheles squamifemur"
"5021","French Guiana"," Anopheles strodei"
"5022","French Guiana"," Anopheles triannulatus"
"5023","French Guiana"," Chagasia bathana"
"5024","French Guiana"," Chagasia bonneae"
"5025","French Guiana"," Coquillettidia albicosta"
"5026","French Guiana"," Coquillettidia arribalzagae"
"5027","French Guiana"," Coquillettidia fasciolata"
"5028","French Guiana"," Coquillettidia lynchi"
"5029","French Guiana"," Coquillettidia venezuelensis"
"5030","French Guiana"," Culex abonnenci"
"5031","French Guiana"," Culex accelerans"
"5032","French Guiana"," Culex adamesi"
"5033","French Guiana"," Culex albinensis"
"5034","French Guiana"," Culex alcocki"
"5035","French Guiana"," Culex alogistus"
"5036","French Guiana"," Culex amazonensis"
"5037","French Guiana"," Culex americanus"
"5038","French Guiana"," Culex antunesi"
"5039","French Guiana"," Culex bastagarius"
"5040","French Guiana"," Culex batesi"
"5041","French Guiana"," Culex belemensis"
"5042","French Guiana"," Culex bonneae"
"5043","French Guiana"," Culex bonnei"
"5044","French Guiana"," Culex breviculus"
"5045","French Guiana"," Culex brevispinosus"
"5046","French Guiana"," Culex cauchensis"
"5047","French Guiana"," Culex caudatus"
"5048","French Guiana"," Culex caudelli"
"5049","French Guiana"," Culex chryselatus"
"5050","French Guiana"," Culex clastrieri"
"5051","French Guiana"," Culex comatus"
"5052","French Guiana"," Culex commevynensis"
"5053","French Guiana"," Culex comminutor"
"5054","French Guiana"," Culex contei"
"5055","French Guiana"," Culex coppenamensis"
"5056","French Guiana"," Culex corentynensis"
"5057","French Guiana"," Culex corniger"
"5058","French Guiana"," Culex coronator"
"5059","French Guiana"," Culex creole"
"5060","French Guiana"," Culex cristovaoi"
"5061","French Guiana"," Culex damascenoi"
"5062","French Guiana"," Culex declarator"
"5063","French Guiana"," Culex distinguendus"
"5064","French Guiana"," Culex dolichophyllus"
"5065","French Guiana"," Culex dunni"
"5066","French Guiana"," Culex dyius"
"5067","French Guiana"," Culex eastor"
"5068","French Guiana"," Culex educator"
"5069","French Guiana"," Culex elevator"
"5070","French Guiana"," Culex ensiformis"
"5071","French Guiana"," Culex epanatasis"
"5072","French Guiana"," Culex equinoxialis"
"5073","French Guiana"," Culex erraticus"
"5074","French Guiana"," Culex evansae"
"5075","French Guiana"," Culex faurani"
"5076","French Guiana"," Culex flabellifer"
"5077","French Guiana"," Culex flochi"
"5078","French Guiana"," Culex foliafer"
"5079","French Guiana"," Culex guyanensis"
"5080","French Guiana"," Culex idottus"
"5081","French Guiana"," Culex imitator"
"5082","French Guiana"," Culex inadmirabilis"
"5083","French Guiana"," Culex infoliatus"
"5084","French Guiana"," Culex ingrami"
"5085","French Guiana"," Culex inhibitator"
"5086","French Guiana"," Culex innovator"
"5087","French Guiana"," Culex insigniforceps"
"5088","French Guiana"," Culex lacertosus"
"5089","French Guiana"," Culex maxinocca"
"5090","French Guiana"," Culex mollis"
"5091","French Guiana"," Culex nigrescens"
"5092","French Guiana"," Culex nigrimacula"
"5093","French Guiana"," Culex nigripalpus"
"5094","French Guiana"," Culex ocellatus"
"5095","French Guiana"," Culex originator"
"5096","French Guiana"," Culex palaciosi"
"5097","French Guiana"," Culex patientiae"
"5098","French Guiana"," Culex pedroi"
"5099","French Guiana"," Culex phlabistus"
"5100","French Guiana"," Culex phlogistus"
"5101","French Guiana"," Culex pilosus"
"5102","French Guiana"," Culex plectoporpe"
"5103","French Guiana"," Culex pleuristriatus"
"5104","French Guiana"," Culex portesi"
"5105","French Guiana"," Culex productus"
"5106","French Guiana"," Culex pruina"
"5107","French Guiana"," Culex pseudojanthinosoma"
"5108","French Guiana"," Culex punctiscapularis"
"5109","French Guiana"," Culex putumayensis"
"5110","French Guiana"," Culex quinquefasciatus"
"5111","French Guiana"," Culex rabanicola"
"5112","French Guiana"," Culex reginae"
"5113","French Guiana"," Culex rorotaensis"
"5114","French Guiana"," Culex saramaccensis"
"5115","French Guiana"," Culex serratimarge"
"5116","French Guiana"," Culex spissipes"
"5117","French Guiana"," Culex stonei"
"5118","French Guiana"," Culex surinamensis"
"5119","French Guiana"," Culex taeniopus"
"5120","French Guiana"," Culex thalassius"
"5121","French Guiana"," Culex theobaldi"
"5122","French Guiana"," Culex tournieri"
"5123","French Guiana"," Culex trigeminatus"
"5124","French Guiana"," Culex trisetosus"
"5125","French Guiana"," Culex unicornis"
"5126","French Guiana"," Culex urichii"
"5127","French Guiana"," Culex vaxus"
"5128","French Guiana"," Culex vidali"
"5129","French Guiana"," Culex vomerifer"
"5130","French Guiana"," Culex ybarmis"
"5131","French Guiana"," Culex zeteki"
"5132","French Guiana"," Deinocerites magnus"
"5133","French Guiana"," Georgecraigius fluviatilis"
"5134","French Guiana"," Haemagogus albomaculatus"
"5135","French Guiana"," Haemagogus janthinomys"
"5136","French Guiana"," Haemagogus leucocelaenus"
"5137","French Guiana"," Haemagogus spegazzinii"
"5138","French Guiana"," Howardina arborealis"
"5139","French Guiana"," Howardina fulvithorax"
"5140","French Guiana"," Johnbelkinia longipes"
"5141","French Guiana"," Johnbelkinia ulopus"
"5142","French Guiana"," Limatus asulleptus"
"5143","French Guiana"," Limatus durhamii"
"5144","French Guiana"," Limatus flavisetosus"
"5145","French Guiana"," Limatus martiali"
"5146","French Guiana"," Limatus pseudomethysticus"
"5147","French Guiana"," Lutzia allostigma"
"5148","French Guiana"," Mansonia flaveola"
"5149","French Guiana"," Mansonia humeralis"
"5150","French Guiana"," Mansonia pseudotitillans"
"5151","French Guiana"," Mansonia titillans"
"5152","French Guiana"," Ochlerotatus eucephalaeus"
"5153","French Guiana"," Ochlerotatus fulvus"
"5154","French Guiana"," Ochlerotatus hastatus"
"5155","French Guiana"," Ochlerotatus martineti"
"5156","French Guiana"," Ochlerotatus nubilus"
"5157","French Guiana"," Ochlerotatus oligopistus"
"5158","French Guiana"," Ochlerotatus scapularis"
"5159","French Guiana"," 'Ochlerotatus' sensu auctorum argyrothorax"
"5160","French Guiana"," 'Ochlerotatus' sensu auctorum braziliensis"
"5161","French Guiana"," 'Ochlerotatus' sensu auctorum terrens"
"5162","French Guiana"," Ochlerotatus serratus"
"5163","French Guiana"," Ochlerotatus taeniorhynchus"
"5164","French Guiana"," Orthopodomyia fascipes"
"5165","French Guiana"," Psorophora albipes"
"5166","French Guiana"," Psorophora ciliata"
"5167","French Guiana"," Psorophora cilipes"
"5168","French Guiana"," Psorophora cingulata"
"5169","French Guiana"," Psorophora ferox"
"5170","French Guiana"," Psorophora lutzii"
"5171","French Guiana"," Sabethes albiprivus"
"5172","French Guiana"," Sabethes belisarioi"
"5173","French Guiana"," Sabethes bipartipes"
"5174","French Guiana"," Sabethes cyaneus"
"5175","French Guiana"," Sabethes identicus"
"5176","French Guiana"," Sabethes intermedius"
"5177","French Guiana"," Sabethes purpureus"
"5178","French Guiana"," Sabethes undosus"
"5179","French Guiana"," Sallumia hortator"
"5180","French Guiana"," Sallumia perventor"
"5181","French Guiana"," Shannoniana fluviatilis"
"5182","French Guiana"," Shannoniana schedocyclia"
"5183","French Guiana"," Stegomyia aegypti"
"5184","French Guiana"," Toxorhynchites haemorrhoidalis"
"5185","French Guiana"," Toxorhynchites superbus"
"5186","French Guiana"," Toxorhynchites trichopygus"
"5187","French Guiana"," Trichoprosopon compressum"
"5188","French Guiana"," Trichoprosopon digitatum"
"5189","French Guiana"," Trichoprosopon pallidiventer"
"5190","French Guiana"," Trichoprosopon soaresi"
"5191","French Guiana"," Uranotaenia apicalis"
"5192","French Guiana"," Uranotaenia calosomata"
"5193","French Guiana"," Uranotaenia geometrica"
"5194","French Guiana"," Uranotaenia hystera"
"5195","French Guiana"," Uranotaenia leucoptera"
"5196","French Guiana"," Uranotaenia lowii"
"5197","French Guiana"," Uranotaenia mathesoni"
"5198","French Guiana"," Uranotaenia nataliae"
"5199","French Guiana"," Uranotaenia pallidoventer"
"5200","French Guiana"," Uranotaenia pulcherrima"
"5201","French Guiana"," Uranotaenia socialis"
"5202","French Guiana"," Wyeomyia albosquamata"
"5203","French Guiana"," Wyeomyia aphobema"
"5204","French Guiana"," Wyeomyia aporonoma"
"5205","French Guiana"," Wyeomyia argenteorostris"
"5206","French Guiana"," Wyeomyia arthrostigma"
"5207","French Guiana"," Wyeomyia bourrouli"
"5208","French Guiana"," Wyeomyia chalcocephala"
"5209","French Guiana"," Wyeomyia clasoleuca"
"5210","French Guiana"," Wyeomyia complosa"
"5211","French Guiana"," Wyeomyia compta"
"5212","French Guiana"," Wyeomyia confusa"
"5213","French Guiana"," Wyeomyia forattinii"
"5214","French Guiana"," Wyeomyia ininicola"
"5215","French Guiana"," Wyeomyia luteoventralis"
"5216","French Guiana"," Wyeomyia melanocephala"
